epoch,loss,mean_io_u,val_loss,val_mean_io_u
0,0.6783984884619713,0.24990876,0.6279636600613594,0.25
1,0.6268056756258011,0.24860664,0.6117064943909645,0.24999994
2,0.6135957169532776,0.2464715,0.6126625660061836,0.24523908
3,0.6086949521303177,0.24396896,0.6017012050747872,0.23456664
4,0.6045088213682175,0.24133086,0.5979214733839036,0.23068106
5,0.6014663004875183,0.23886807,0.5956542065739632,0.23146254
6,0.5988879778981209,0.23737544,0.5931915399432183,0.23024742
7,0.5957971733808517,0.23558639,0.5923187908530235,0.22860754
8,0.594491971731186,0.23449707,0.5896032014489174,0.22788869
9,0.5923766642808914,0.23292208,0.5879236435890198,0.2298811
10,0.5905134707689286,0.23238048,0.5876540285348892,0.22838877
11,0.589484392106533,0.23171999,0.5867804759740829,0.22702916
12,0.5878362047672272,0.23133259,0.58582992374897,0.22822398
13,0.5877201229333877,0.2313255,0.5854173493385315,0.22732525
14,0.5857289692759514,0.23137932,0.583476505279541,0.2278632
15,0.5829733502864838,0.2307981,0.5809670588374138,0.2299978
16,0.5834831085801124,0.23134217,0.5802274385094642,0.22965625
17,0.5822234830260277,0.23105289,0.5792845547199249,0.22912481
18,0.5826207119226455,0.23231381,0.5771463304758072,0.23159575
19,0.5795402148365975,0.23357888,0.5707917472720146,0.2383953
