epoch,loss,mean_io_u,val_loss,val_mean_io_u
0,0.701903994679451,0.24984945,0.6341616129875183,0.25
1,0.6492598843574524,0.24894014,0.6257846367359161,0.25
2,0.6306668138504028,0.24506441,0.6220313167572021,0.24504492
3,0.6213374450802803,0.24307668,0.6141917696595192,0.23285975
4,0.6122648084163665,0.24158143,0.604993109703064,0.23201655
5,0.6068028193712235,0.23958193,0.6001073327660561,0.23161753
6,0.6027285781502724,0.23767212,0.5980772534012795,0.22884491
7,0.6001668512821198,0.23573393,0.5940330603718758,0.2301413
8,0.5967253118753433,0.23411658,0.5922923314571381,0.23007736
9,0.5948168838024139,0.23327862,0.5911128836870193,0.22820938
10,0.593442143201828,0.23189507,0.5895558333396912,0.22936729
11,0.5913081029057503,0.23114957,0.5877652224898339,0.22998017
12,0.5903870415687561,0.23049782,0.5862174308300019,0.2278364
13,0.5877628570795059,0.23016764,0.5845547690987587,0.22911191
14,0.5880191820859909,0.23027119,0.5837495344877243,0.22875503
15,0.5858883807063102,0.23008135,0.5828205609321594,0.22953695
16,0.5861491975188255,0.230676,0.5822473323345184,0.22877225
17,0.5854521679878235,0.23054522,0.5810086119174958,0.2282984
18,0.5845863428711892,0.23071165,0.5799977001547814,0.22886214
19,0.582759270966053,0.23094036,0.5780491599440575,0.23049347
