epoch,loss,mean_io_u,val_loss,val_mean_io_u
0,0.6907700675725937,0.24993257,0.6183267307281494,0.25
1,0.6489008095860481,0.24934469,0.6167529076337814,0.24999839
2,0.635544561445713,0.2480982,0.6220019039511681,0.24026446
3,0.626866202056408,0.24701597,0.6141215932369232,0.23753811
4,0.6181281155347824,0.24548201,0.6091759204864502,0.23607284
5,0.6142247062921524,0.2440934,0.6034628534317017,0.23657322
6,0.6118053504824639,0.24305996,0.6003044563531875,0.23549664
7,0.6071031421422959,0.24161457,0.5985034847259522,0.2354903
8,0.6080071556568146,0.24140672,0.5965515992045403,0.23472984
9,0.600304534137249,0.24022514,0.5940855494141579,0.23490205
10,0.5995240366458893,0.24006532,0.5889638423919678,0.23649135
11,0.5969706973433495,0.24048884,0.5863921475410462,0.23667479
12,0.5923805263638496,0.24142414,0.5836070090532303,0.23737592
13,0.590632688999176,0.24232437,0.5859161892533302,0.23612067
14,0.5874773189425468,0.24283881,0.5810808283090592,0.23898025
15,0.5834338942170143,0.24409159,0.5823951536417007,0.2379124
16,0.573334449827671,0.24377127,0.5782332026958465,0.23946655
17,0.5720045563578605,0.24442142,0.5762835937738419,0.24021904
18,0.5722822049260139,0.24514574,0.5746709677577019,0.24061453
19,0.5666959491372109,0.24509203,0.5747815811634064,0.23909627
