JOBDEVICE|JOBNAME|MODELNAME|MODELCONFIG|MODELINPUTS
akya-cuda|ngengec_swin_unet_bc_ist|swin_unet|model_config_remote_bc.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json']
akya-cuda|ngengec_transunet_bc_ist|transunet|model_config_remote_bc.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi.json']
akya-cuda|ngengec_swin_unet_bc_ist_traj|swin_unet|model_config_remote_bc.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi_traj.json']
akya-cuda|ngengec_transunet_bc_ist_traj|transunet|model_config_remote_bc.json|['/truba/home/ngengec/sentinel_traj_nn/model_config_files/input_files_remote_ist_msi_traj.json']
