model_id,model_type,model_area
314886,traj,ist
314886,traj,ist_mont
314886,traj,mont
314887,traj,ist
314887,traj,ist_mont
314887,traj,mont
314888,traj,ist
314888,traj,ist_mont
314888,traj,mont
314889,traj,ist
314889,traj,ist_mont
314889,traj,mont
314890,traj,ist
314890,traj,ist_mont
314890,traj,mont
314891,traj,ist
314891,traj,ist_mont
314891,traj,mont
314892,traj,ist
314892,traj,ist_mont
314892,traj,mont
314893,traj,ist
314893,traj,ist_mont
314893,traj,mont
314894,traj,ist
314894,traj,ist_mont
314894,traj,mont
314895,traj,ist
314895,traj,ist_mont
314895,traj,mont
314896,traj,ist
314896,traj,ist_mont
314896,traj,mont
314897,traj,ist
314897,traj,ist_mont
314897,traj,mont
