model_id,model_type,model_area
308510,traj,ist
308510,traj,ist_mont
308510,traj,mont
308511,traj,ist
308511,traj,ist_mont
308511,traj,mont
308512,traj,ist
308512,traj,ist_mont
308512,traj,mont
308513,traj,ist
308513,traj,ist_mont
308513,traj,mont
308514,traj,ist
308514,traj,ist_mont
308514,traj,mont
308515,traj,ist
308515,traj,ist_mont
308515,traj,mont
308516,traj,ist
308516,traj,ist_mont
308516,traj,mont
308517,traj,ist
308517,traj,ist_mont
308517,traj,mont
308518,traj,ist
308518,traj,ist_mont
308518,traj,mont
308519,traj,ist
308519,traj,ist_mont
308519,traj,mont
308520,traj,ist
308520,traj,ist_mont
308520,traj,mont
308521,traj,ist
308521,traj,ist_mont
308521,traj,mont
