model_id,model_type,model_area
466511,traj,ist
466511,traj,ist_mont
466511,traj,mont
466512,traj,ist
466512,traj,ist_mont
466512,traj,mont
466513,traj,ist
466513,traj,ist_mont
466513,traj,mont
466514,traj,ist
466514,traj,ist_mont
466514,traj,mont
466515,traj,ist
466515,traj,ist_mont
466515,traj,mont
466516,traj,ist
466516,traj,ist_mont
466516,traj,mont
466517,traj,ist
466517,traj,ist_mont
466517,traj,mont
466518,traj,ist
466518,traj,ist_mont
466518,traj,mont
466519,traj,ist
466519,traj,ist_mont
466519,traj,mont
466520,traj,ist
466520,traj,ist_mont
466520,traj,mont
466521,traj,ist
466521,traj,ist_mont
466521,traj,mont
466522,traj,ist
466522,traj,ist_mont
466522,traj,mont
