model_id,model_type,model_area
1029232,msi,ist
1029232,msi,ist_mont
1029232,msi,mont
1029233,traj,ist
1029233,traj,ist_mont
1029233,traj,mont
1029234,traj,ist_mont
1029234,traj,mont
1029234,traj,ist_mont
1029235,traj,mont
1029235,traj,ist_mont
1029235,traj,mont
1029236,traj,ist_mont
1029236,traj,mont
1029236,traj,ist_mont
1029237,traj,mont
1029237,traj,ist_mont
1029237,traj,mont
