model_id,model_type,model_area
308558,traj,ist
308558,traj,ist_mont
308558,traj,mont
308559,traj,ist
308559,traj,ist_mont
308559,traj,mont
308560,traj,ist
308560,traj,ist_mont
308560,traj,mont
308561,traj,ist
308561,traj,ist_mont
308561,traj,mont
308562,traj,ist
308562,traj,ist_mont
308562,traj,mont
308563,traj,ist
308563,traj,ist_mont
308563,traj,mont
308564,traj,ist
308564,traj,ist_mont
308564,traj,mont
308565,traj,ist
308565,traj,ist_mont
308565,traj,mont
308566,traj,ist
308566,traj,ist_mont
308566,traj,mont
308567,traj,ist
308567,traj,ist_mont
308567,traj,mont
308568,traj,ist
308568,traj,ist_mont
308568,traj,mont
308569,traj,ist
308569,traj,ist_mont
308569,traj,mont
