model_id,model_type,model_area
466463,traj,ist
466463,traj,ist_mont
466463,traj,mont
466464,traj,ist
466464,traj,ist_mont
466464,traj,mont
466465,traj,ist
466465,traj,ist_mont
466465,traj,mont
466466,traj,ist
466466,traj,ist_mont
466466,traj,mont
466467,traj,ist
466467,traj,ist_mont
466467,traj,mont
466468,traj,ist
466468,traj,ist_mont
466468,traj,mont
466469,traj,ist
466469,traj,ist_mont
466469,traj,mont
466470,traj,ist
466470,traj,ist_mont
466470,traj,mont
466471,traj,ist
466471,traj,ist_mont
466471,traj,mont
466472,traj,ist
466472,traj,ist_mont
466472,traj,mont
466473,traj,ist
466473,traj,ist_mont
466473,traj,mont
466474,traj,ist
466474,traj,ist_mont
466474,traj,mont
